customer_id,customer_state,review_score,payment_type,product_category,price,recency,frequency,monetary
f681356046d9fde60e70c73a18d65ea2,SP,5,credit_card,Light-Small,49.0,201,1,56.78
4a0e66fd30684aa1409cd1b66fec77cc,SP,5,boleto,Light-Small,78.0,54,1,85.81
70a8cfb1730fd53e5c15f2a62e1e5448,SP,1,credit_card,Light-Small,29.0,350,1,36.78
f0bbb754a5855f669094d5049c09c548,MT,4,credit_card,Light-Small,78.0,141,1,100.26
cfde53fd036308dba103823ba561b885,SP,5,boleto,Light-Small,49.0,15,2,225.96
cfde53fd036308dba103823ba561b885,SP,5,boleto,Light-Small,45.0,15,2,225.96
8a3083e3f5500b50d6f4f3003604df87,MG,4,credit_card,Light-Small,49.0,278,1,64.1
ada5afd2b1b1258fd60f507e92a63472,MG,1,boleto,Light-Small,55.0,404,1,70.14
1d331c1175b7c788fdf7b44b6dc26627,RJ,4,credit_card,Light-Small,69.0,26,1,84.58
a37646debdb792ee5aaf18cf5da53717,BA,5,credit_card,Light-Small,69.0,28,1,86.41
e1c0318960b73aa3bd90b9500f7ba6fc,SP,4,credit_card,Light-Small,49.0,279,1,56.78
9edeb727de2970d9bda3186ff2300fa5,RJ,5,credit_card,Light-Small,55.0,152,1,70.27
f0eccf2fbfbabd057700f535e10d1493,PR,4,credit_card,Light-Small,29.0,303,2,202.4
f0eccf2fbfbabd057700f535e10d1493,PR,4,credit_card,Light-Small,44.0,303,2,202.4
a8d7167182ac070d269d752eb692b1db,MG,5,credit_card,Light-Small,49.0,316,1,64.1
38d582cf25bb1bc7d6f9f494dc2c260e,RJ,1,credit_card,Light-Small,56.0,35,1,71.49
649ae246f93c7482390cf748a9be70f3,MG,5,credit_card,Light-Small,49.0,9,1,67.44
daa4d167c907827200536489e0dc645b,PR,5,boleto,Light-Small,29.0,430,2,176.4
daa4d167c907827200536489e0dc645b,PR,5,boleto,Light-Small,29.0,430,2,176.4
52aaa28398bf43dfbfc64dc09278f13d,RJ,5,credit_card,Light-Medium,145.0,84,1,160.89
97b9cfe8bd0140421d5247237594b5d3,RJ,5,credit_card,Light-Small,39.0,180,1,53.1
ea5744917d5a275155a8732c1c18e994,MG,4,credit_card,Light-Small,49.0,125,2,327.32
ea5744917d5a275155a8732c1c18e994,MG,4,credit_card,Light-Small,78.0,125,2,327.32
491b53d711e90db8195ba44d40bb83ac,ES,5,credit_card,Light-Small,199.0,559,1,215.69
